timp,eroare
260.382878061,0.06718100309371944
260.531080039,0.054247272014617876
260.725167395,0.04155112504959102
260.879971332,0.028842341899871782
261.057555293,0.01586903333663936
261.196385812,0.002250862121581987
261.458580014,-0.010355460643768355
261.595300678,-0.02313112020492558
261.70717133,-0.031154382228851363
261.885059226,-0.012733030319213912
262.087188338,0.03730113506317134
262.358999531,0.07379926443099971
262.525405003,0.056130719184875444
262.754641224,0.03717972040176387
262.845672466,0.018330287933349565
263.220318118,-0.000706720352172896
263.4024932,-0.017236518859863326
263.871522757,-0.025171267986297652
264.08302526,-0.029029893875122115
264.222993904,-0.03152112960815434
264.397962816,-0.03358458280563359
264.575543318,-0.03471075296401982
264.781810811,-0.06557904481887822
264.941515833,-0.13180773258209233
265.186449402,-0.13501660823822026
265.388384202,-0.13777612447738652
265.540653625,-0.1378851413726807
265.68612239,-0.14040659666061406
265.832489013,-0.13836650848388676
265.968275631,-0.13971679210662846
266.171750389,-0.13914554119110112
266.363830328,-0.1366530537605286
266.515613845,-0.13573311567306523
266.690104419,-0.16909478902816777
266.905387139,-0.2036672711372376
267.223674454,-0.23404150009155278
267.516063461,-0.26019268035888676
267.678577396,-0.2849515557289124
267.774474444,-0.30562077760696416
268.062906509,-0.3236229002475739
268.282784646,-0.3391167998313904
268.486104159,-0.3527894496917725
268.679412981,-0.36473624706268315
268.910977095,-0.37485088706016545
269.018489405,-0.38328825235366826
269.202668625,-0.39029740095138554
269.526478091,-0.39584233164787297
269.714654079,-0.3999379754066468
269.85940704,-0.40298085212707524
270.047271349,-0.4056740283966065
270.22273646,-0.4078148782253266
270.434323463,-0.4094785928726197
270.716059933,-0.41073932051658635
270.83157787,-0.41150351166725163
271.059412436,-0.4118135452270508
271.262319159,-0.4116476356983185
271.473347072,-0.41098730564117436
271.588287184,-0.40986810922622685
271.814947017,-0.40820275545120244
271.936626992,-0.40612753033638005
